Dataset,Model,RMSE_all,MAE_all,R2_all,RMSE_last,MAE_last,R2_last,n_features,n_train,n_test
FD001,Ridge,57.007966624562336,42.40170321262612,0.06568558658302182,17.78514965430819,14.374727100811585,0.8168295114893801,68,20631,13096
FD001,ElasticNet,56.99035800017588,42.38920171196851,0.066262679634838,17.669149949563305,14.293543401797663,0.8192110973867668,68,20631,13096
FD001,RandomForest,56.575330350594896,40.94931595361225,0.07981289243280754,14.14122906915835,10.532476382513808,0.8841983438781891,68,20631,13096
FD001,ExtraTrees,56.547979075520374,40.84282568095892,0.08070240405397933,13.889395226674413,10.200879294962707,0.8882861220310057,68,20631,13096
FD001,HistGradientBoosting,55.562775724120975,39.95231112463664,0.11245616012027715,14.303760787189777,10.895886504467017,0.8815211220018304,68,20631,13096
FD001,XGBoost,55.70747923023892,40.01097106933594,0.10782724618911743,14.34642838215208,10.719351768493652,0.8808132410049438,68,20631,13096
FD002,Ridge,64.51651293908516,48.598497164012315,-0.020238349933544786,28.50935548450118,20.21777113783445,0.7189700035776063,96,53759,33991
FD002,ElasticNet,67.11309418849757,51.10842873426608,-0.10401353072380148,30.813938810338886,22.121601525066822,0.6716989203231529,96,53759,33991
FD002,RandomForest,66.66022310421333,50.32018763149899,-0.08916429981103224,28.7526563199272,20.098124106001006,0.7141528767399343,96,53759,33991
FD002,ExtraTrees,66.92654398263643,50.56616000574028,-0.09788454158836712,29.480091793382414,20.374623826570076,0.6995061816464583,96,53759,33991
FD002,HistGradientBoosting,65.2994210938367,49.11948122705881,-0.04514978182543583,28.27567429796456,19.759915083792762,0.7235581311655932,96,53759,33991
FD002,XGBoost,65.08695730880919,48.90217971801758,-0.038359642028808594,27.712896612802403,19.27054214477539,0.7344527840614319,96,53759,33991
FD003,Ridge,94.97889326872334,67.06865729520933,-0.27167980540391734,20.332267557645274,16.327231848922704,0.758752519240413,72,24720,16596
FD003,ElasticNet,94.90891060333665,67.00451196993565,-0.2698064890861007,20.259238818262048,16.278234907613445,0.7604824157693872,72,24720,16596
FD003,RandomForest,93.5265607625695,64.75753009818327,-0.23308636074559552,17.62738080157525,13.19378033497027,0.8186712248408006,72,24720,16596
FD003,ExtraTrees,93.49857956417485,64.6903587025241,-0.2323486436202764,17.157528825148983,12.680651068306128,0.8282089124157164,72,24720,16596
FD003,HistGradientBoosting,93.49708592828821,64.77397354870685,-0.23230927049899175,17.12894766076703,12.852317693594536,0.8287807779578494,72,24720,16596
FD003,XGBoost,93.49791629529773,64.68388366699219,-0.2323312759399414,18.04590602106455,13.396751403808594,0.8099584579467773,72,24720,16596
FD004,Ridge,107.62786549405804,78.93712979414627,-0.3636126692672401,31.247742412251856,24.603468559529773,0.671553099594236,96,61249,41214
FD004,ElasticNet,109.18813781136076,81.00962826853379,-0.4034356084687454,34.32359822261716,27.678059283162764,0.6037096516051008,96,61249,41214
FD004,RandomForest,109.30828648747864,79.69219392965742,-0.4065259387461113,30.189378482013886,22.198327867922465,0.6934253647230582,96,61249,41214
FD004,ExtraTrees,109.54232317382926,80.09224785389074,-0.41255532732838707,30.674567527186685,22.835944271073068,0.6834919408409563,96,61249,41214
FD004,HistGradientBoosting,109.32676536006588,79.6836613235964,-0.40700153325728494,29.389337719109143,21.661181503287562,0.7094589679457861,96,61249,41214
FD004,XGBoost,108.92836038108946,79.29473876953125,-0.3967655897140503,29.393271619605503,21.571943283081055,0.7093812227249146,96,61249,41214
