Dataset,Best Model,RMSE,MAE,R2,RMSE (all rows),MAE (all rows),R2 (all rows)
FD001,ExtraTrees,13.889395226674413,10.200879294962707,0.8882861220310057,56.547979075520374,40.84282568095892,0.08070240405397933
FD002,XGBoost,27.712896612802403,19.27054214477539,0.7344527840614319,65.08695730880919,48.90217971801758,-0.038359642028808594
FD003,HistGradientBoosting,17.12894766076703,12.852317693594536,0.8287807779578494,93.49708592828821,64.77397354870685,-0.23230927049899175
FD004,HistGradientBoosting,29.389337719109143,21.661181503287562,0.7094589679457861,109.32676536006588,79.6836613235964,-0.40700153325728494
