Model,Dataset,RMSE_last,MAE_last,R2_last,RMSE_all,MAE_all,R2_all,graph_type,device,train_minutes
TemporalGCN,FD001,18.69319928377405,14.6780366897583,0.7976478934288025,46.46232933113664,33.50808334350586,0.272030770778656,temporal_chain,cuda,2.73
TemporalGCN,FD002,30.188002430148572,21.93646812438965,0.6805970072746277,56.09757995281525,41.48735809326172,0.103655993938446,temporal_chain,cuda,6.54
TemporalGCN,FD003,18.537882192199707,14.060534477233888,0.7994552254676819,85.66293639535712,57.92538070678711,-0.1223640441894531,temporal_chain,cuda,1.63
TemporalGCN,FD004,31.80293438886084,24.44040870666504,0.6431544423103333,101.23602334087902,73.01467895507812,-0.2933496236801147,temporal_chain,cuda,10.78
TemporalGAT,FD001,16.59958627943593,13.068063735961914,0.8404359817504883,46.394592917204534,33.4332389831543,0.2741518020629883,temporal_chain,cuda,2.59
TemporalGAT,FD002,29.91687090989067,22.178722381591797,0.6863086223602295,55.972952714207196,41.41102981567383,0.10763424634933472,temporal_chain,cuda,11.18
TemporalGAT,FD003,19.583360171468755,14.822845458984375,0.7761971950531006,90.01121891881034,61.83982467651367,-0.23919916152954102,temporal_chain,cuda,1.7
TemporalGAT,FD004,32.695711056411895,25.22838020324707,0.6228383779525757,101.9038350679821,73.6845932006836,-0.31046926975250244,temporal_chain,cuda,15.49
